text;category;priority
Не приходит код подтверждения. Сколько можно ждать?;Техническая ошибка;Высокий
Платёж завис на этапе обработки. Пожалуйста, помогите разобраться. Номер заказа: 965359.;Оплата;Высокий
Не могу отследить заказ. Прошу решить проблему как можно быстрее. Раньше всё работало нормально.;Доставка;Высокий
Заказ отмечен как доставленный, но я ничего не получил. Очень срочно! Пишу уже второй раз.;Доставка;Высокий
Приложение зависает на загрузке. Сколько можно ждать? Никто не отвечает в чате поддержки.;Техническая ошибка;Высокий
Постоянно появляется неизвестная ошибка. Прошу решить проблему как можно быстрее. Никто не отвечает в чате поддержки.;Техническая ошибка;Высокий
Экран зависает после нажатия кнопки. Пожалуйста, помогите разобраться. Никто не отвечает в чате поддержки.;Техническая ошибка;Средний
Постоянно получаю ненужные уведомления.  Раньше всё работало нормально.;Спам;Низкий
Ошибка сервера при входе в приложение. Прошу решить проблему как можно быстрее. Проблема повторяется уже несколько дней.;Техническая ошибка;Высокий
Мне привезли чужой заказ. Что вообще происходит? Раньше всё работало нормально.;Доставка;Средний
Верните деньги за отменённый заказ. Прошу решить проблему как можно быстрее. Очень рассчитывал на ваш сервис.;Оплата;Высокий
Курьер опаздывает на час. Это уже начинает раздражать. Номер заказа: 831730.;Доставка;Средний
Курьер не выходит на связь. Спасибо заранее.;Доставка;Средний
Курьер опаздывает на час. Пожалуйста, помогите разобраться.;Доставка;Средний
Ваше приложение постоянно вылетает при оформлении. Когда это наконец исправят? С телефона и компьютера результат одинаковый.;Техническая ошибка;Высокий
Курьер опаздывает на час. Прошу решить проблему как можно быстрее.;Доставка;Высокий
После оплаты заказ так и не появился. Когда это наконец исправят?;Оплата;Высокий
Получаю подозрительные письма якобы от вашей компании. Я крайне недоволен сервисом. Проблема повторяется уже несколько дней.;Спам;Низкий
Не получается оплатить через Apple Pay. Я крайне недоволен сервисом.;Оплата;Высокий
Каждый день спамите акциями. Пожалуйста, помогите разобраться. Пишу уже второй раз.;Спам;Низкий
Экран зависает после нажатия кнопки. Я крайне недоволен сервисом.;Техническая ошибка;Средний
Мне неинтересны ваши предложения. Прошу решить проблему как можно быстрее.;Спам;Низкий
Ваше приложение постоянно вылетает при оформлении.  С телефона и компьютера результат одинаковый.;Техническая ошибка;Средний
После обновления ничего не работает. Я крайне недоволен сервисом.;Техническая ошибка;Средний
Приходят странные сообщения от вашего сервиса. Я крайне недоволен сервисом. Пишу уже второй раз.;Спам;Низкий
Списались деньги два раза за один заказ. Пожалуйста, помогите разобраться. С телефона и компьютера результат одинаковый.;Оплата;Высокий
Не приходит код подтверждения.;Техническая ошибка;Средний
Верните деньги за отменённый заказ. Очень срочно!;Оплата;Высокий
Не могу привязать карту к профилю. Очень срочно! Раньше всё работало нормально.;Оплата;Высокий
Заказ отмечен как доставленный, но я ничего не получил.  С телефона и компьютера результат одинаковый.;Доставка;Средний
Списались деньги два раза за один заказ. Что вообще происходит?;Оплата;Высокий
Курьер приехал не по тому адресу. Когда это наконец исправят?;Доставка;Высокий
Оплата не проходит уже третий раз. Я крайне недоволен сервисом. Никто не отвечает в чате поддержки.;Оплата;Высокий
Не могу привязать карту к профилю. Это уже начинает раздражать. Пишу уже второй раз.;Оплата;Высокий
Почему мне приходят рекламные сообщения ночью?. Спасибо заранее. Раньше всё работало нормально.;Спам;Низкий
Хватит отправлять рекламу. Что вообще происходит?;Спам;Низкий
Списались деньги два раза за один заказ. Сколько можно ждать?;Оплата;Высокий
Деньги списали, но подтверждения нет. Прошу решить проблему как можно быстрее. Раньше всё работало нормально.;Оплата;Высокий
Уберите мой номер из рассылки. Что вообще происходит?;Спам;Низкий
Почему отменён платёж, если деньги уже ушли?. Когда это наконец исправят?;Оплата;Высокий
После оплаты заказ так и не появился. Что вообще происходит?;Оплата;Высокий
Деньги списали, но подтверждения нет. Я крайне недоволен сервисом. Очень рассчитывал на ваш сервис.;Оплата;Высокий
Сайт открывается очень медленно. Сколько можно ждать? Это произошло сегодня около 5:36.;Техническая ошибка;Высокий
Приложение зависает на загрузке. Спасибо заранее.;Техническая ошибка;Средний
Не приходит код подтверждения. Сколько можно ждать?;Техническая ошибка;Высокий
Уберите мой номер из рассылки. Очень срочно! Проблема повторяется уже несколько дней.;Спам;Низкий
Почему мне приходят рекламные сообщения ночью?.;Спам;Низкий
При попытке оплаты появляется ошибка. Спасибо заранее.;Оплата;Высокий
Мне привезли чужой заказ. Прошу решить проблему как можно быстрее.;Доставка;Высокий
Почему мне приходят рекламные сообщения ночью?. Прошу решить проблему как можно быстрее. Номер заказа: 484209.;Спам;Низкий
После обновления ничего не работает. Очень срочно! С телефона и компьютера результат одинаковый.;Техническая ошибка;Высокий
Каждый день спамите акциями. Спасибо заранее. Номер заказа: 590121.;Спам;Низкий
Ваше приложение постоянно вылетает при оформлении. Очень срочно!;Техническая ошибка;Высокий
Сайт открывается очень медленно. Спасибо заранее. Это произошло сегодня около 3:39.;Техническая ошибка;Средний
Заказ отмечен как доставленный, но я ничего не получил. Когда это наконец исправят? Проблема повторяется уже несколько дней.;Доставка;Высокий
Заказ до сих пор не доставлен. Очень срочно! Очень рассчитывал на ваш сервис.;Доставка;Высокий
Не приходит код подтверждения.  Очень рассчитывал на ваш сервис.;Техническая ошибка;Средний
Приходят странные сообщения от вашего сервиса. Спасибо заранее.;Спам;Низкий
Оплата не проходит уже третий раз. Когда это наконец исправят?;Оплата;Высокий
Приложение зависает на загрузке.  Пишу уже второй раз.;Техническая ошибка;Средний
Получаю подозрительные письма якобы от вашей компании. Это уже начинает раздражать. Очень рассчитывал на ваш сервис.;Спам;Низкий
Заказ до сих пор не доставлен. Пожалуйста, помогите разобраться. Это произошло сегодня около 17:09.;Доставка;Средний
Сайт открывается очень медленно. Прошу решить проблему как можно быстрее. Пишу уже второй раз.;Техническая ошибка;Высокий
Ошибка сервера при входе в приложение. Когда это наконец исправят?;Техническая ошибка;Высокий
Получаю подозрительные письма якобы от вашей компании.;Спам;Низкий
Не могу отследить заказ. Спасибо заранее.;Доставка;Средний
Не могу восстановить пароль. Сколько можно ждать?;Техническая ошибка;Высокий
Ваши уведомления уже надоели. Очень срочно! Никто не отвечает в чате поддержки.;Спам;Низкий
Доставка задерживается уже второй день.;Доставка;Средний
Оплата не проходит уже третий раз. Очень срочно!;Оплата;Высокий
Сайт открывается очень медленно. Это уже начинает раздражать. Очень рассчитывал на ваш сервис.;Техническая ошибка;Средний
Уберите мой номер из рассылки. Очень срочно! Номер заказа: 510317.;Спам;Низкий
Ваше приложение постоянно вылетает при оформлении. Сколько можно ждать? Проблема повторяется уже несколько дней.;Техническая ошибка;Высокий
При попытке оплаты появляется ошибка. Что вообще происходит?;Оплата;Высокий
Оплата не проходит уже третий раз.  Никто не отвечает в чате поддержки.;Оплата;Высокий
Доставка задерживается уже второй день. Это уже начинает раздражать. Пишу уже второй раз.;Доставка;Средний
Я не подписывался на эти письма. Это уже начинает раздражать.;Спам;Низкий
Курьер не выходит на связь. Спасибо заранее.;Доставка;Средний
Мне привезли чужой заказ. Я крайне недоволен сервисом.;Доставка;Средний
Не могу отследить заказ. Когда это наконец исправят? Никто не отвечает в чате поддержки.;Доставка;Высокий
Уберите мой номер из рассылки. Сколько можно ждать? Проблема повторяется уже несколько дней.;Спам;Низкий
Почему мне приходят рекламные сообщения ночью?.  Раньше всё работало нормально.;Спам;Низкий
Не могу отследить заказ. Я крайне недоволен сервисом. Очень рассчитывал на ваш сервис.;Доставка;Средний
После оплаты заказ так и не появился. Когда это наконец исправят? Пишу уже второй раз.;Оплата;Высокий
Уберите мой номер из рассылки. Это уже начинает раздражать.;Спам;Низкий
Мне неинтересны ваши предложения. Это уже начинает раздражать.;Спам;Низкий
Уберите мой номер из рассылки. Я крайне недоволен сервисом. Раньше всё работало нормально.;Спам;Низкий
После оплаты заказ так и не появился. Очень срочно! Это произошло сегодня около 12:40.;Оплата;Высокий
Уберите мой номер из рассылки. Прошу решить проблему как можно быстрее.;Спам;Низкий
Сайт открывается очень медленно. Спасибо заранее. С телефона и компьютера результат одинаковый.;Техническая ошибка;Средний
Курьер опаздывает на час. Сколько можно ждать? Пишу уже второй раз.;Доставка;Высокий
Доставка задерживается уже второй день. Когда это наконец исправят? Пишу уже второй раз.;Доставка;Высокий
Сайт открывается очень медленно. Это уже начинает раздражать.;Техническая ошибка;Средний
Заказ отмечен как доставленный, но я ничего не получил. Что вообще происходит?;Доставка;Средний
Хватит отправлять рекламу. Прошу решить проблему как можно быстрее. Пишу уже второй раз.;Спам;Низкий
Почему отменён платёж, если деньги уже ушли?. Сколько можно ждать?;Оплата;Высокий
Приходят странные сообщения от вашего сервиса. Сколько можно ждать? Это произошло сегодня около 20:00.;Спам;Низкий
Почему доставка перенесена без предупреждения?.;Доставка;Средний
Уберите мой номер из рассылки. Спасибо заранее. Пишу уже второй раз.;Спам;Низкий
Доставка задерживается уже второй день. Очень срочно!;Доставка;Высокий
Заказ отмечен как доставленный, но я ничего не получил. Прошу решить проблему как можно быстрее.;Доставка;Высокий
Приложение зависает на загрузке. Сколько можно ждать? Никто не отвечает в чате поддержки.;Техническая ошибка;Высокий
При попытке оплаты появляется ошибка.  Очень рассчитывал на ваш сервис.;Оплата;Высокий
Почему отменён платёж, если деньги уже ушли?. Пожалуйста, помогите разобраться. С телефона и компьютера результат одинаковый.;Оплата;Высокий
Не могу восстановить пароль. Очень срочно!;Техническая ошибка;Высокий
Не могу привязать карту к профилю. Когда это наконец исправят?;Оплата;Высокий
Сайт открывается очень медленно. Когда это наконец исправят? Никто не отвечает в чате поддержки.;Техническая ошибка;Высокий
Получаю подозрительные письма якобы от вашей компании. Я крайне недоволен сервисом. Пишу уже второй раз.;Спам;Низкий
Получаю подозрительные письма якобы от вашей компании. Что вообще происходит?;Спам;Низкий
При попытке оплаты появляется ошибка. Спасибо заранее.;Оплата;Высокий
Курьер не выходит на связь.  Номер заказа: 756083.;Доставка;Средний
Оплата не проходит уже третий раз. Это уже начинает раздражать. С телефона и компьютера результат одинаковый.;Оплата;Высокий
Почему мне приходят рекламные сообщения ночью?. Что вообще происходит? Никто не отвечает в чате поддержки.;Спам;Низкий
Курьер приехал не по тому адресу. Что вообще происходит?;Доставка;Средний
Я не подписывался на эти письма. Что вообще происходит? С телефона и компьютера результат одинаковый.;Спам;Низкий
Ваши уведомления уже надоели. Очень срочно! Никто не отвечает в чате поддержки.;Спам;Низкий
Почему доставка перенесена без предупреждения?. Очень срочно! Это произошло сегодня около 18:33.;Доставка;Высокий
При попытке оплаты появляется ошибка. Сколько можно ждать? Раньше всё работало нормально.;Оплата;Высокий
Заказ отмечен как доставленный, но я ничего не получил. Сколько можно ждать?;Доставка;Высокий
Постоянно появляется неизвестная ошибка. Я крайне недоволен сервисом.;Техническая ошибка;Средний
Не открывается личный кабинет. Когда это наконец исправят?;Техническая ошибка;Высокий
Мне неинтересны ваши предложения. Пожалуйста, помогите разобраться. Никто не отвечает в чате поддержки.;Спам;Низкий
Не могу восстановить пароль. Я крайне недоволен сервисом.;Техническая ошибка;Средний
Каждый день спамите акциями. Прошу решить проблему как можно быстрее.;Спам;Низкий
Ваши уведомления уже надоели. Сколько можно ждать?;Спам;Низкий
Почему мне приходят рекламные сообщения ночью?. Это уже начинает раздражать.;Спам;Низкий
После оплаты заказ так и не появился. Это уже начинает раздражать. Раньше всё работало нормально.;Оплата;Высокий
При попытке оплаты появляется ошибка.  Номер заказа: 693612.;Оплата;Высокий
Верните деньги за отменённый заказ. Сколько можно ждать? Раньше всё работало нормально.;Оплата;Высокий
Списались деньги два раза за один заказ. Спасибо заранее.;Оплата;Высокий
Мне неинтересны ваши предложения. Сколько можно ждать? Пишу уже второй раз.;Спам;Низкий
Каждый день спамите акциями. Прошу решить проблему как можно быстрее. Никто не отвечает в чате поддержки.;Спам;Низкий
Посылка повреждена. Это уже начинает раздражать. Проблема повторяется уже несколько дней.;Доставка;Средний
Заказ отмечен как доставленный, но я ничего не получил. Что вообще происходит? Пишу уже второй раз.;Доставка;Средний
Постоянно появляется неизвестная ошибка.;Техническая ошибка;Средний
Деньги списали, но подтверждения нет. Это уже начинает раздражать. Очень рассчитывал на ваш сервис.;Оплата;Высокий
Сайт открывается очень медленно. Спасибо заранее. С телефона и компьютера результат одинаковый.;Техническая ошибка;Средний
Приходят странные сообщения от вашего сервиса. Что вообще происходит?;Спам;Низкий
Верните деньги за отменённый заказ. Когда это наконец исправят? Проблема повторяется уже несколько дней.;Оплата;Высокий
Заказ отмечен как доставленный, но я ничего не получил. Пожалуйста, помогите разобраться. Номер заказа: 240406.;Доставка;Средний
Не приходит код подтверждения. Пожалуйста, помогите разобраться. Пишу уже второй раз.;Техническая ошибка;Средний
Приложение зависает на загрузке. Что вообще происходит? Раньше всё работало нормально.;Техническая ошибка;Средний
Курьер опаздывает на час. Это уже начинает раздражать.;Доставка;Средний
Экран зависает после нажатия кнопки. Когда это наконец исправят? Раньше всё работало нормально.;Техническая ошибка;Высокий
Курьер не выходит на связь. Прошу решить проблему как можно быстрее. Это произошло сегодня около 12:21.;Доставка;Высокий
Посылка повреждена. Пожалуйста, помогите разобраться.;Доставка;Средний
Получаю подозрительные письма якобы от вашей компании.  Пишу уже второй раз.;Спам;Низкий
Курьер приехал не по тому адресу. Очень срочно! Номер заказа: 756179.;Доставка;Высокий
Ваше приложение постоянно вылетает при оформлении. Очень срочно! Раньше всё работало нормально.;Техническая ошибка;Высокий
Не открывается личный кабинет. Что вообще происходит?;Техническая ошибка;Средний
При попытке оплаты появляется ошибка. Когда это наконец исправят? Раньше всё работало нормально.;Оплата;Высокий
Я не подписывался на эти письма. Я крайне недоволен сервисом. Никто не отвечает в чате поддержки.;Спам;Низкий
Приходят странные сообщения от вашего сервиса. Когда это наконец исправят? Очень рассчитывал на ваш сервис.;Спам;Низкий
Верните деньги за отменённый заказ. Я крайне недоволен сервисом.;Оплата;Высокий
Не открывается личный кабинет. Очень срочно!;Техническая ошибка;Высокий
Деньги списали, но подтверждения нет. Очень срочно! Раньше всё работало нормально.;Оплата;Высокий
Хватит отправлять рекламу. Пожалуйста, помогите разобраться. Пишу уже второй раз.;Спам;Низкий
Не могу отследить заказ.  Пишу уже второй раз.;Доставка;Средний
Постоянно появляется неизвестная ошибка. Это уже начинает раздражать. Это произошло сегодня около 10:25.;Техническая ошибка;Средний
Мне привезли чужой заказ. Пожалуйста, помогите разобраться.;Доставка;Средний
Я не подписывался на эти письма. Когда это наконец исправят? Очень рассчитывал на ваш сервис.;Спам;Низкий
Мне неинтересны ваши предложения. Прошу решить проблему как можно быстрее.;Спам;Низкий
Хватит отправлять рекламу. Сколько можно ждать? Никто не отвечает в чате поддержки.;Спам;Низкий
Мне неинтересны ваши предложения. Прошу решить проблему как можно быстрее. Очень рассчитывал на ваш сервис.;Спам;Низкий
Не получается оплатить через Apple Pay. Пожалуйста, помогите разобраться. Никто не отвечает в чате поддержки.;Оплата;Высокий
Курьер приехал не по тому адресу. Прошу решить проблему как можно быстрее. С телефона и компьютера результат одинаковый.;Доставка;Высокий
Получаю подозрительные письма якобы от вашей компании. Сколько можно ждать?;Спам;Низкий
Мне неинтересны ваши предложения. Сколько можно ждать? С телефона и компьютера результат одинаковый.;Спам;Низкий
Почему мне приходят рекламные сообщения ночью?. Что вообще происходит? Никто не отвечает в чате поддержки.;Спам;Низкий
Ваши уведомления уже надоели. Прошу решить проблему как можно быстрее.;Спам;Низкий
Хватит отправлять рекламу. Когда это наконец исправят? Никто не отвечает в чате поддержки.;Спам;Низкий
Не открывается личный кабинет. Я крайне недоволен сервисом. Это произошло сегодня около 16:56.;Техническая ошибка;Средний
Мне неинтересны ваши предложения. Очень срочно! Проблема повторяется уже несколько дней.;Спам;Низкий
Каждый день спамите акциями. Что вообще происходит? Номер заказа: 453521.;Спам;Низкий
Ошибка сервера при входе в приложение. Это уже начинает раздражать. Проблема повторяется уже несколько дней.;Техническая ошибка;Средний
Мне привезли чужой заказ. Я крайне недоволен сервисом.;Доставка;Средний
Мне привезли чужой заказ. Что вообще происходит?;Доставка;Средний
Почему мне приходят рекламные сообщения ночью?. Сколько можно ждать?;Спам;Низкий
Сайт открывается очень медленно. Когда это наконец исправят? Очень рассчитывал на ваш сервис.;Техническая ошибка;Высокий
Приложение зависает на загрузке. Это уже начинает раздражать.;Техническая ошибка;Средний
Курьер приехал не по тому адресу. Когда это наконец исправят?;Доставка;Высокий
Платёж завис на этапе обработки. Я крайне недоволен сервисом.;Оплата;Высокий
Приложение зависает на загрузке. Пожалуйста, помогите разобраться. Никто не отвечает в чате поддержки.;Техническая ошибка;Средний
Платёж завис на этапе обработки. Что вообще происходит? Это произошло сегодня около 17:53.;Оплата;Высокий
Не открывается личный кабинет. Прошу решить проблему как можно быстрее. Пишу уже второй раз.;Техническая ошибка;Высокий
Заказ до сих пор не доставлен. Спасибо заранее. Никто не отвечает в чате поддержки.;Доставка;Средний
Уберите мой номер из рассылки.;Спам;Низкий
Посылка повреждена.;Доставка;Средний
Почему мне приходят рекламные сообщения ночью?. Пожалуйста, помогите разобраться.;Спам;Низкий
Курьер не выходит на связь. Это уже начинает раздражать.;Доставка;Средний
Оплата не проходит уже третий раз. Пожалуйста, помогите разобраться.;Оплата;Высокий
Верните деньги за отменённый заказ. Сколько можно ждать?;Оплата;Высокий
При попытке оплаты появляется ошибка. Когда это наконец исправят? Раньше всё работало нормально.;Оплата;Высокий
Почему мне приходят рекламные сообщения ночью?. Я крайне недоволен сервисом.;Спам;Низкий
Получаю подозрительные письма якобы от вашей компании. Это уже начинает раздражать. Номер заказа: 465437.;Спам;Низкий
При попытке оплаты появляется ошибка. Когда это наконец исправят? Пишу уже второй раз.;Оплата;Высокий
Оплата не проходит уже третий раз. Пожалуйста, помогите разобраться.;Оплата;Высокий
Не могу привязать карту к профилю. Я крайне недоволен сервисом. Номер заказа: 849629.;Оплата;Высокий
Почему отменён платёж, если деньги уже ушли?. Пожалуйста, помогите разобраться. Проблема повторяется уже несколько дней.;Оплата;Высокий
Не могу отследить заказ. Спасибо заранее. Очень рассчитывал на ваш сервис.;Доставка;Средний
Списались деньги два раза за один заказ. Я крайне недоволен сервисом.;Оплата;Высокий
Доставка задерживается уже второй день. Что вообще происходит?;Доставка;Средний
Каждый день спамите акциями.  Это произошло сегодня около 2:53.;Спам;Низкий
Не могу восстановить пароль.;Техническая ошибка;Средний
Не могу отследить заказ. Очень срочно!;Доставка;Высокий
Курьер опаздывает на час. Пожалуйста, помогите разобраться.;Доставка;Средний
Не могу привязать карту к профилю. Это уже начинает раздражать.;Оплата;Высокий
Курьер не выходит на связь. Когда это наконец исправят? Это произошло сегодня около 13:54.;Доставка;Высокий
Не открывается личный кабинет. Спасибо заранее. Очень рассчитывал на ваш сервис.;Техническая ошибка;Средний
Постоянно получаю ненужные уведомления. Я крайне недоволен сервисом. Никто не отвечает в чате поддержки.;Спам;Низкий
Постоянно появляется неизвестная ошибка. Сколько можно ждать?;Техническая ошибка;Высокий
Не открывается личный кабинет.  Номер заказа: 730549.;Техническая ошибка;Средний
Не приходит код подтверждения. Спасибо заранее. Раньше всё работало нормально.;Техническая ошибка;Средний
После обновления ничего не работает. Когда это наконец исправят? Пишу уже второй раз.;Техническая ошибка;Высокий
Мне привезли чужой заказ. Что вообще происходит?;Доставка;Средний
Заказ до сих пор не доставлен. Это уже начинает раздражать. Раньше всё работало нормально.;Доставка;Средний
При попытке оплаты появляется ошибка. Что вообще происходит? Номер заказа: 971205.;Оплата;Высокий
Сайт открывается очень медленно. Сколько можно ждать?;Техническая ошибка;Высокий
После оплаты заказ так и не появился.  Раньше всё работало нормально.;Оплата;Высокий
Хватит отправлять рекламу. Спасибо заранее. Раньше всё работало нормально.;Спам;Низкий
Мне неинтересны ваши предложения. Когда это наконец исправят?;Спам;Низкий
Я не подписывался на эти письма. Пожалуйста, помогите разобраться.;Спам;Низкий
Не открывается личный кабинет. Я крайне недоволен сервисом.;Техническая ошибка;Средний
Не приходит код подтверждения. Прошу решить проблему как можно быстрее. Номер заказа: 590208.;Техническая ошибка;Высокий
После оплаты заказ так и не появился.;Оплата;Высокий
После оплаты заказ так и не появился. Это уже начинает раздражать.;Оплата;Высокий
Посылка повреждена. Спасибо заранее. Очень рассчитывал на ваш сервис.;Доставка;Средний
Платёж завис на этапе обработки. Это уже начинает раздражать. Номер заказа: 610223.;Оплата;Высокий
Посылка повреждена. Прошу решить проблему как можно быстрее. Это произошло сегодня около 16:19.;Доставка;Высокий
Не получается оплатить через Apple Pay. Пожалуйста, помогите разобраться. Раньше всё работало нормально.;Оплата;Высокий
Мне привезли чужой заказ. Что вообще происходит? Никто не отвечает в чате поддержки.;Доставка;Средний
Сайт открывается очень медленно. Это уже начинает раздражать.;Техническая ошибка;Средний
Курьер приехал не по тому адресу. Сколько можно ждать? Номер заказа: 821806.;Доставка;Высокий
Мне привезли чужой заказ. Что вообще происходит? С телефона и компьютера результат одинаковый.;Доставка;Средний
Экран зависает после нажатия кнопки.  Пишу уже второй раз.;Техническая ошибка;Средний
Заказ отмечен как доставленный, но я ничего не получил. Очень срочно! С телефона и компьютера результат одинаковый.;Доставка;Высокий
Почему доставка перенесена без предупреждения?. Это уже начинает раздражать. С телефона и компьютера результат одинаковый.;Доставка;Средний
Мне неинтересны ваши предложения. Очень срочно! Очень рассчитывал на ваш сервис.;Спам;Низкий
Платёж завис на этапе обработки. Когда это наконец исправят? Очень рассчитывал на ваш сервис.;Оплата;Высокий
Ошибка сервера при входе в приложение. Я крайне недоволен сервисом. Никто не отвечает в чате поддержки.;Техническая ошибка;Средний
Мне неинтересны ваши предложения.;Спам;Низкий
Постоянно появляется неизвестная ошибка. Спасибо заранее. С телефона и компьютера результат одинаковый.;Техническая ошибка;Средний
Верните деньги за отменённый заказ. Я крайне недоволен сервисом.;Оплата;Высокий
Приложение зависает на загрузке.  Раньше всё работало нормально.;Техническая ошибка;Средний
Деньги списали, но подтверждения нет. Сколько можно ждать?;Оплата;Высокий
Не могу восстановить пароль. Что вообще происходит?;Техническая ошибка;Средний
Списались деньги два раза за один заказ. Я крайне недоволен сервисом.;Оплата;Высокий
Посылка повреждена. Что вообще происходит?;Доставка;Средний
Экран зависает после нажатия кнопки. Спасибо заранее. Номер заказа: 144992.;Техническая ошибка;Средний
Курьер приехал не по тому адресу. Когда это наконец исправят? Номер заказа: 304601.;Доставка;Высокий
Курьер не выходит на связь. Когда это наконец исправят? С телефона и компьютера результат одинаковый.;Доставка;Высокий
Заказ отмечен как доставленный, но я ничего не получил. Что вообще происходит? Раньше всё работало нормально.;Доставка;Средний
Приложение зависает на загрузке. Очень срочно! Это произошло сегодня около 11:48.;Техническая ошибка;Высокий
Каждый день спамите акциями. Прошу решить проблему как можно быстрее. Очень рассчитывал на ваш сервис.;Спам;Низкий
Курьер опаздывает на час. Очень срочно! Никто не отвечает в чате поддержки.;Доставка;Высокий
Почему мне приходят рекламные сообщения ночью?. Пожалуйста, помогите разобраться.;Спам;Низкий
Доставка задерживается уже второй день. Это уже начинает раздражать.;Доставка;Средний
